id,key,value,type
12197391,source,tiger_import_dch_v0.6_20070809,tiger
,,,
12197391,tlid,203249114,tiger
,,,
12197391,upload_uuid,bulk_upload.pl-fd7bfe10-7a28-44e7-b196-d2b35d899d00,tiger
,,,
12197397,highway,service,regular
,,,
12197399,access,private,regular
,,,
12197399,highway,service,regular
,,,
12197399,service,driveway,regular
,,,
12197399,cfcc,A41,tiger
,,,
12197399,county,"Honolulu, HI",tiger
,,,
12197399,reviewed,no,tiger
,,,
12197404,access,private,regular
,,,
12197404,highway,service,regular
,,,
12197404,service,driveway,regular
,,,
12197404,cfcc,A41,tiger
,,,
12197404,county,"Honolulu, HI",tiger
,,,
12197404,reviewed,no,tiger
,,,
12197477,highway,trunk_link,regular
,,,
12197477,oneway,yes,regular
,,,
12197477,cfcc,A63,tiger
,,,
12197477,county,"Honolulu, HI",tiger
,,,
12197482,highway,residential,regular
,,,
12197482,cfcc,A41,tiger
,,,
12197482,county,"Honolulu, HI",tiger
,,,
12197482,reviewed,no,tiger
,,,
12197482,separated,no,tiger
,,,
12197482,source,tiger_import_dch_v0.6_20070809,tiger
,,,
12197482,tlid,203327829:203327830,tiger
,,,
12197482,upload_uuid,bulk_upload.pl-fd7bfe10-7a28-44e7-b196-d2b35d899d00,tiger
,,,
12197551,access,no,regular
,,,
12197551,highway,residential,regular
,,,
12197551,maxspeed,15 mph,regular
,,,
12197551,name,Bailey Road,regular
,,,
12197551,oneway,yes,regular
,,,
12197551,cfcc,A41,tiger
,,,
12197551,county,"Honolulu, HI",tiger
,,,
12197551,name_base,Bailey,tiger
,,,
12197551,name_type,Rd,tiger
,,,
12197560,highway,primary_link,regular
,,,
12197560,oneway,yes,regular
,,,
12197593,bridge,yes,regular
,,,
12197593,highway,motorway_link,regular
,,,
12197593,layer,1,regular
,,,
12197593,oneway,yes,regular
,,,
12197593,cfcc,A63,tiger
,,,
12197593,county,"Honolulu, HI",tiger
,,,
12197593,reviewed,no,tiger
,,,
12197614,highway,residential,regular
,,,
12197614,cfcc,A41,tiger
,,,
12197614,county,"Honolulu, HI",tiger
,,,
12197614,reviewed,no,tiger
,,,
12197617,highway,residential,regular
,,,
12197617,cfcc,A41,tiger
,,,
12197617,county,"Honolulu, HI",tiger
,,,
12197617,reviewed,no,tiger
,,,
12197617,separated,no,tiger
,,,
12197617,source,tiger_import_dch_v0.6_20070809,tiger
,,,
12197617,tlid,203220232,tiger
,,,
12197617,upload_uuid,bulk_upload.pl-fd7bfe10-7a28-44e7-b196-d2b35d899d00,tiger
,,,
12197645,highway,service,regular
,,,
12197645,service,driveway,regular
,,,
12197645,cfcc,A41,tiger
,,,
12197645,county,"Honolulu, HI",tiger
,,,
12197645,reviewed,no,tiger
,,,
12197817,highway,motorway_link,regular
,,,
12197817,oneway,yes,regular
,,,
12197817,cfcc,A63,tiger
,,,
12197817,county,"Honolulu, HI",tiger
,,,
12197817,reviewed,no,tiger
,,,
12197884,highway,service,regular
,,,
12197884,oneway,yes,regular
,,,
12197884,surface,asphalt,regular
,,,
12197895,access,private,regular
,,,
12197895,highway,service,regular
,,,
12197895,cfcc,A74,tiger
,,,
12197895,county,"Honolulu, HI",tiger
,,,
12197895,reviewed,no,tiger
,,,
12197895,source,tiger_import_dch_v0.6_20070809,tiger
,,,
12197895,tlid,203234299,tiger
,,,
12197895,upload_uuid,bulk_upload.pl-fd7bfe10-7a28-44e7-b196-d2b35d899d00,tiger
,,,
12197932,highway,residential,regular
,,,
12197932,cfcc,A41,tiger
,,,
12197932,county,"Honolulu, HI",tiger
,,,
12197932,reviewed,no,tiger
,,,
12197932,separated,no,tiger
,,,
12197932,source,tiger_import_dch_v0.6_20070809,tiger
,,,
12197932,tlid,203261737,tiger
,,,
12197932,upload_uuid,bulk_upload.pl-fd7bfe10-7a28-44e7-b196-d2b35d899d00,tiger
,,,
12198010,highway,motorway_link,regular
,,,
12198010,oneway,yes,regular
,,,
12198010,cfcc,A63,tiger
,,,
12198010,county,"Honolulu, HI",tiger
,,,
12198010,reviewed,no,tiger
,,,
12198013,highway,motorway_link,regular
,,,
12198013,oneway,yes,regular
,,,
12198013,cfcc,A63,tiger
,,,
12198013,county,"Honolulu, HI",tiger
,,,
12198013,reviewed,no,tiger
,,,
12198050,highway,motorway_link,regular
,,,
12198050,oneway,yes,regular
,,,
12198050,cfcc,A63,tiger
,,,
12198050,county,"Honolulu, HI",tiger
,,,
12198054,bicycle,yes,regular
,,,
12198054,foot,yes,regular
,,,
12198054,highway,motorway_link,regular
,,,
12198054,oneway,yes,regular
,,,
12198054,cfcc,A63,tiger
,,,
12198054,county,"Honolulu, HI",tiger
,,,
12198185,access,private,regular
,,,
12198185,highway,service,regular
,,,
12198185,service,driveway,regular
,,,
12198196,access,private,regular
,,,
12198196,highway,service,regular
,,,
12198196,service,driveway,regular
,,,
12198320,highway,residential,regular
,,,
12198320,cfcc,A41,tiger
,,,
12198320,county,"Honolulu, HI",tiger
,,,
12198320,reviewed,no,tiger
,,,
12198320,separated,no,tiger
,,,
12198320,source,tiger_import_dch_v0.6_20070809,tiger
,,,
12198320,tlid,203226296:203226535,tiger
,,,
12198320,upload_uuid,bulk_upload.pl-fd7bfe10-7a28-44e7-b196-d2b35d899d00,tiger
,,,
12198325,access,private,regular
,,,
12198325,highway,residential,regular
,,,
12198356,highway,residential,regular
,,,
12198356,cfcc,A41,tiger
,,,
12198356,county,"Honolulu, HI",tiger
,,,
12198356,reviewed,no,tiger
,,,
12198356,separated,no,tiger
,,,
12198356,source,tiger_import_dch_v0.6_20070809,tiger
,,,
12198356,tlid,203261852,tiger
,,,
12198356,upload_uuid,bulk_upload.pl-fd7bfe10-7a28-44e7-b196-d2b35d899d00,tiger
,,,
12198365,access,private,regular
,,,
12198365,highway,residential,regular
,,,
12198367,highway,residential,regular
,,,
12198367,name,Makaa Street,regular
,,,
12198367,surface,asphalt,regular
,,,
12198393,highway,service,regular
,,,
12198393,cfcc,A41,tiger
,,,
12198393,county,"Honolulu, HI",tiger
,,,
12198393,reviewed,no,tiger
,,,
12198393,separated,no,tiger
,,,
12198393,source,tiger_import_dch_v0.6_20070809,tiger
,,,
12198393,tlid,203261395,tiger
,,,
12198393,upload_uuid,bulk_upload.pl-fd7bfe10-7a28-44e7-b196-d2b35d899d00,tiger
,,,
12198396,access,official,regular
,,,
12198396,highway,service,regular
,,,
12198396,name,Everetts Road,regular
,,,
12198396,service,alley,regular
,,,
12198396,cfcc,A41,tiger
,,,
12198396,county,"Honolulu, HI",tiger
,,,
12198396,name_base,Everetts,tiger
,,,
12198396,name_type,Rd,tiger
,,,
12198406,highway,service,regular
,,,
12198413,highway,service,regular
,,,
12198413,service,parking_aisle,regular
,,,
12198433,access,private,regular
,,,
12198433,highway,service,regular
,,,
12198433,service,driveway,regular
,,,
12198435,access,private,regular
,,,
12198435,highway,service,regular
,,,
12198435,service,driveway,regular
,,,
12198437,access,private,regular
,,,
12198437,highway,service,regular
,,,
12198437,service,driveway,regular
,,,
12198442,access,private,regular
,,,
12198442,highway,service,regular
,,,
12198442,service,driveway,regular
,,,
12198538,highway,service,regular
,,,
12198607,highway,residential,regular
,,,
12198610,highway,residential,regular
,,,
12198610,name,Clarey Place,regular
,,,
12198610,cfcc,A41,tiger
,,,
12198610,county,"Honolulu, HI",tiger
,,,
12198610,reviewed,no,tiger
,,,
12198613,highway,residential,regular
,,,
12198613,name,Iki Place,regular
,,,
12198613,cfcc,A41,tiger
,,,
