id,key,value,type
110550391,highway,turning_circle,regular
110550463,highway,turning_circle,regular
110550463,source,Bing,regular
110550623,highway,traffic_signals,regular
110550638,highway,traffic_signals,regular
110550645,highway,traffic_signals,regular
110550705,highway,traffic_signals,regular
110551149,highway,turning_circle,regular
110551221,highway,turning_circle,regular
110551353,highway,traffic_signals,regular
110551724,highway,turning_circle,regular
110552495,highway,turning_circle,regular
110552535,highway,turning_circle,regular
110553210,highway,turning_circle,regular
110553778,highway,turning_circle,regular
110553825,highway,traffic_signals,regular
110554278,highway,turning_circle,regular
110554286,noexit,yes,regular
110555640,highway,turning_circle,regular
110555654,crossing,zebra,regular
110555654,highway,crossing,regular
110555710,highway,turning_circle,regular
110555817,highway,turning_circle,regular
110556132,highway,turning_circle,regular
110557019,highway,turning_circle,regular
110557515,highway,traffic_signals,regular
110557634,highway,turning_circle,regular
110559025,noexit,yes,regular
110559102,highway,traffic_signals,regular
110559250,highway,traffic_signals,regular
110559320,highway,turning_circle,regular
110559416,highway,traffic_signals,regular
110559420,highway,traffic_signals,regular
110559634,highway,turning_circle,regular
110559669,highway,traffic_signals,regular
110559678,highway,traffic_signals,regular
110559736,highway,turning_circle,regular
110560080,noexit,yes,regular
110560162,highway,turning_circle,regular
110560181,highway,turning_circle,regular
110560519,highway,turning_circle,regular
110560827,barrier,cycle_barrier,regular
110561037,highway,turning_circle,regular
110561315,highway,turning_circle,regular
110561673,highway,traffic_signals,regular
110561850,highway,turning_circle,regular
110561863,highway,turning_circle,regular
110562204,highway,turning_loop,regular
110562336,highway,turning_circle,regular
110562697,highway,traffic_signals,regular
110562747,highway,traffic_signals,regular
110562760,highway,traffic_signals,regular
110562760,traffic_signals,signal,regular
110563559,highway,turning_circle,regular
110563860,highway,turning_loop,regular
110563904,highway,traffic_signals,regular
110563907,highway,traffic_signals,regular
110563908,highway,traffic_signals,regular
110563917,highway,turning_circle,regular
110563917,source,Bing,regular
110564072,access,no,regular
110564072,barrier,gate,regular
110564807,highway,turning_circle,regular
110564917,highway,turning_circle,regular
110564967,highway,turning_circle,regular
110565181,highway,turning_circle,regular
110565428,access,private,regular
110565428,barrier,gate,regular
110566043,highway,turning_circle,regular
110566650,noexit,yes,regular
110567003,highway,turning_circle,regular
110567476,highway,turning_circle,regular
110567961,highway,traffic_signals,regular
110568297,highway,turning_circle,regular
110568509,highway,traffic_signals,regular
110568832,highway,turning_circle,regular
110568904,highway,turning_circle,regular
110569155,highway,turning_circle,regular
110569219,highway,turning_circle,regular
110569255,highway,turning_circle,regular
110569355,highway,turning_circle,regular
110569609,noexit,yes,regular
110569802,highway,traffic_signals,regular
110570005,highway,traffic_signals,regular
110570101,noexit,yes,regular
110570586,highway,traffic_signals,regular
110570596,highway,traffic_signals,regular
110570678,highway,turning_circle,regular
110570995,highway,turning_circle,regular
110571481,noexit,yes,regular
110571490,highway,turning_circle,regular
110571495,highway,turning_circle,regular
110571975,noexit,yes,regular
110572014,highway,turning_circle,regular
110572099,highway,turning_circle,regular
110572249,highway,traffic_signals,regular
110572319,highway,turning_circle,regular
110572319,source,Bing,regular
110572570,highway,turning_circle,regular
110572580,highway,traffic_signals,regular
110572660,highway,turning_circle,regular
110572679,highway,turning_circle,regular
110572799,highway,turning_circle,regular
110572799,source,Yahoo,regular
110572857,highway,traffic_signals,regular
110572881,highway,traffic_signals,regular
110572900,highway,traffic_signals,regular
110573310,highway,turning_circle,regular
110573586,highway,turning_circle,regular
110573784,highway,turning_circle,regular
110574029,highway,turning_circle,regular
110574096,highway,turning_circle,regular
110574190,highway,traffic_signals,regular
110574236,highway,traffic_signals,regular
110574275,highway,traffic_signals,regular
110574732,highway,traffic_signals,regular
110574810,highway,turning_circle,regular
110574946,highway,turning_circle,regular
110575074,highway,traffic_signals,regular
110575436,highway,turning_circle,regular
110575497,highway,traffic_signals,regular
110575866,highway,traffic_signals,regular
110575874,highway,traffic_signals,regular
110575969,highway,turning_circle,regular
110576109,highway,turning_circle,regular
110576222,highway,turning_circle,regular
110576291,highway,turning_circle,regular
110576291,source,Bing,regular
110576355,highway,turning_circle,regular
110576378,highway,traffic_signals,regular
